"","BrainRegion","BehavioralMeasure","r","P","stars"
"1","dr","epm_total_distance",-0.171464778018626,0.0788417223836599,""
"2","dr","epm_open_arm_time",-0.0549926361612276,0.575551336641437,""
"3","dr","epm_open_arm_freezing_episodes",0.0915094165370957,0.350853280837031,""
"4","dr","epm_open_arm_time_freezing",-0.0132064478733002,0.893116029451442,""
"5","dr","of_total_distance",-0.160718999523071,0.0998046764554177,""
"6","dr","of_per_center_distance",0.0806842965116846,0.410970018754412,""
"7","dr","of_center_time",0.17625564709333,0.0707118165159943,""
"8","dr","of_mean_speed",0.07812560109145,0.426012933656898,""
"9","dr","avg_startle",-0.0551533073555596,0.574434293393321,""
"10","dr","habituation",-0.053770760979662,0.584079152150613,""
"11","dr","startle_reactivity",-0.110215903309751,0.260708526008499,""
"12","thal","epm_total_distance",0.0486592076080862,0.620366681055359,""
"13","thal","epm_open_arm_time",-0.0283509087631805,0.772973566523864,""
"14","thal","epm_open_arm_freezing_episodes",0.0587530647250958,0.549676665219476,""
"15","thal","epm_open_arm_time_freezing",0.0697981362843972,0.47710717858977,""
"16","thal","of_total_distance",0.210568951700798,0.0302662331854675,"*"
"17","thal","of_per_center_distance",-0.0607222119538197,0.536356662446456,""
"18","thal","of_center_time",-0.124175717817551,0.204718179037168,""
"19","thal","of_mean_speed",0.143687515596425,0.141710863178245,""
"20","thal","avg_startle",0.00999411789608,0.919012072625851,""
"21","thal","habituation",0.167555758533585,0.0860162133463862,""
"22","thal","startle_reactivity",-0.056008617094476,0.568504963187823,""
"23","hippo","epm_total_distance",0.0270456498124643,0.783161999996009,""
"24","hippo","epm_open_arm_time",0.0426575780456972,0.664159938095593,""
"25","hippo","epm_open_arm_freezing_episodes",-0.146181500943335,0.134854380638393,""
"26","hippo","epm_open_arm_time_freezing",-0.187708022795983,0.0540018289234097,""
"27","hippo","of_total_distance",0.0666041793136113,0.497546548659388,""
"28","hippo","of_per_center_distance",-0.0144382533406394,0.88321409579645,""
"29","hippo","of_center_time",0.0665376871251099,0.497976884661619,""
"30","hippo","of_mean_speed",0.0726738285922604,0.459099203555126,""
"31","hippo","avg_startle",0.130651923105064,0.181901079838091,""
"32","hippo","habituation",-0.119582955560419,0.222097165253964,""
"33","hippo","startle_reactivity",0.000459805010023663,0.996267628124773,""
"34","pfc","epm_total_distance",0.0382910959859659,0.696758717003902,""
"35","pfc","epm_open_arm_time",-0.092739064162485,0.344390567880007,""
"36","pfc","epm_open_arm_freezing_episodes",0.0183340707059295,0.852022604342973,""
"37","pfc","epm_open_arm_time_freezing",0.0505169497372101,0.607066352288585,""
"38","pfc","of_total_distance",0.0497764163059671,0.612353100414543,""
"39","pfc","of_per_center_distance",0.0842416299862446,0.390580871648422,""
"40","pfc","of_center_time",0.0235670944914667,0.810489614140075,""
"41","pfc","of_mean_speed",0.0311376124107346,0.751352052374966,""
"42","pfc","avg_startle",0.0625869567802337,0.523892216682456,""
"43","pfc","habituation",-0.102617025291469,0.295216629405173,""
"44","pfc","startle_reactivity",-0.0375944085526873,0.702013322493836,""
